"country","year","lifeExp","pop","gdpPercap","ISO.alpha3.Code","Region","Continent"
"Argentina",1952,62.485,17876956,5911.315053,"ARG","South America","South America"
"Argentina",1992,71.868,33958947,9308.41871,"ARG","South America","South America"
"Argentina",2002,74.34,38331121,8797.640716,"ARG","South America","South America"
"Argentina",1977,68.481,26983828,10079.02674,"ARG","South America","South America"
"Argentina",1987,70.774,31620918,9139.671389,"ARG","South America","South America"
"Argentina",2007,75.32,40301927,12779.37964,"ARG","South America","South America"
"Argentina",1997,73.275,36203463,10967.28195,"ARG","South America","South America"
"Australia",1987,76.32,16257249,21888.88903,"AUS","Australia and New Zealand","Oceania"
"Australia",2002,80.37,19546792,30687.75473,"AUS","Australia and New Zealand","Oceania"
"Australia",1972,71.93,13177000,16788.62948,"AUS","Australia and New Zealand","Oceania"
"Australia",2007,81.235,20434176,34435.36744,"AUS","Australia and New Zealand","Oceania"
"Australia",1997,78.83,18565243,26997.93657,"AUS","Australia and New Zealand","Oceania"
"Australia",1982,74.74,15184200,19477.00928,"AUS","Australia and New Zealand","Oceania"
"Australia",1967,71.1,11872264,14526.12465,"AUS","Australia and New Zealand","Oceania"
"Australia",1962,70.93,10794968,12217.22686,"AUS","Australia and New Zealand","Oceania"
"Australia",1992,77.56,17481977,23424.76683,"AUS","Australia and New Zealand","Oceania"
"Australia",1977,73.49,14074100,18334.19751,"AUS","Australia and New Zealand","Oceania"
"Australia",1957,70.33,9712569,10949.64959,"AUS","Australia and New Zealand","Oceania"
"Australia",1952,69.12,8691212,10039.59564,"AUS","Australia and New Zealand","Oceania"
"Austria",1957,67.48,6965860,8842.59803,"AUT","Western Europe","Europe"
"Austria",1987,74.94,7578903,23687.82607,"AUT","Western Europe","Europe"
"Austria",1992,76.04,7914969,27042.01868,"AUT","Western Europe","Europe"
"Austria",1982,73.18,7574613,21597.08362,"AUT","Western Europe","Europe"
"Austria",2002,78.98,8148312,32417.60769,"AUT","Western Europe","Europe"
"Austria",1952,66.8,6927772,6137.076492,"AUT","Western Europe","Europe"
"Austria",1972,70.63,7544201,16661.6256,"AUT","Western Europe","Europe"
"Austria",1997,77.51,8069876,29095.92066,"AUT","Western Europe","Europe"
"Austria",2007,79.829,8199783,36126.4927,"AUT","Western Europe","Europe"
"Austria",1967,70.14,7376998,12834.6024,"AUT","Western Europe","Europe"
"Austria",1977,72.17,7568430,19749.4223,"AUT","Western Europe","Europe"
"Austria",1962,69.54,7129864,10750.72111,"AUT","Western Europe","Europe"
"Bahrain",2002,74.795,656397,23403.55927,"BHR","Western Asia","Asia"
"Bahrain",1982,69.052,377967,19211.14731,"BHR","Western Asia","Asia"
"Bahrain",1997,73.925,598561,20292.01679,"BHR","Western Asia","Asia"
"Bahrain",1952,50.939,120447,9867.084765,"BHR","Western Asia","Asia"
"Bahrain",1972,63.3,230800,18268.65839,"BHR","Western Asia","Asia"
"Bahrain",1992,72.601,529491,19035.57917,"BHR","Western Asia","Asia"
"Bahrain",1957,53.832,138655,11635.79945,"BHR","Western Asia","Asia"
"Bahrain",1977,65.593,297410,19340.10196,"BHR","Western Asia","Asia"
"Bahrain",2007,75.635,708573,29796.04834,"BHR","Western Asia","Asia"
"Bahrain",1987,70.75,454612,18524.02406,"BHR","Western Asia","Asia"
"Bahrain",1967,59.923,202182,14804.6727,"BHR","Western Asia","Asia"
"Bahrain",1962,56.923,171863,12753.27514,"BHR","Western Asia","Asia"
"Bangladesh",2007,64.062,150448339,1391.253792,"BGD","Southern Asia","Asia"
"Bangladesh",2002,62.013,135656790,1136.39043,"BGD","Southern Asia","Asia"
"Bangladesh",1952,37.484,46886859,684.2441716,"BGD","Southern Asia","Asia"
"Bangladesh",1987,52.819,103764241,751.9794035,"BGD","Southern Asia","Asia"
"Bangladesh",1992,56.018,113704579,837.8101643,"BGD","Southern Asia","Asia"
"Bangladesh",1997,59.412,123315288,972.7700352,"BGD","Southern Asia","Asia"
"Bangladesh",1967,43.453,62821884,721.1860862,"BGD","Southern Asia","Asia"
"Bangladesh",1982,50.009,93074406,676.9818656,"BGD","Southern Asia","Asia"
"Bangladesh",1957,39.348,51365468,661.6374577,"BGD","Southern Asia","Asia"
"Bangladesh",1962,41.216,56839289,686.3415538,"BGD","Southern Asia","Asia"
"Bangladesh",1977,46.923,80428306,659.8772322,"BGD","Southern Asia","Asia"
"Bangladesh",1972,45.252,70759295,630.2336265,"BGD","Southern Asia","Asia"
"Belgium",1952,68,8730405,8343.105127,"BEL","Western Europe","Europe"
"Belgium",1962,70.25,9218400,10991.20676,"BEL","Western Europe","Europe"
"Belgium",1957,69.24,8989111,9714.960623,"BEL","Western Europe","Europe"
"Belgium",1972,71.44,9709100,16672.14356,"BEL","Western Europe","Europe"
"Belgium",1997,77.53,10199787,27561.19663,"BEL","Western Europe","Europe"
"Belgium",1967,70.94,9556500,13149.04119,"BEL","Western Europe","Europe"
"Belgium",1982,73.93,9856303,20979.84589,"BEL","Western Europe","Europe"
"Belgium",2002,78.32,10311970,30485.88375,"BEL","Western Europe","Europe"
"Belgium",2007,79.441,10392226,33692.60508,"BEL","Western Europe","Europe"
"Belgium",1992,76.46,10045622,25575.57069,"BEL","Western Europe","Europe"
"Belgium",1977,72.8,9821800,19117.97448,"BEL","Western Europe","Europe"
"Belgium",1987,75.35,9870200,22525.56308,"BEL","Western Europe","Europe"
"Benin",2007,56.728,8078314,1441.284873,"BEN","Western Africa","Africa"
"Benin",1997,54.777,6066080,1232.975292,"BEN","Western Africa","Africa"
"Benin",1967,44.885,2427334,1035.831411,"BEN","Western Africa","Africa"
"Benin",2002,54.406,7026113,1372.877931,"BEN","Western Africa","Africa"
"Benin",1992,53.919,4981671,1191.207681,"BEN","Western Africa","Africa"
"Benin",1987,52.337,4243788,1225.85601,"BEN","Western Africa","Africa"
"Benin",1977,49.19,3168267,1029.161251,"BEN","Western Africa","Africa"
"Benin",1972,47.014,2761407,1085.796879,"BEN","Western Africa","Africa"
"Benin",1982,50.904,3641603,1277.897616,"BEN","Western Africa","Africa"
"Benin",1962,42.618,2151895,949.4990641,"BEN","Western Africa","Africa"
"Benin",1957,40.358,1925173,959.6010805,"BEN","Western Africa","Africa"
"Benin",1952,38.223,1738315,1062.7522,"BEN","Western Africa","Africa"
"Bosnia and Herzegovina",1982,70.69,4172693,4126.613157,"BIH","Southern Europe","Europe"
"Bosnia and Herzegovina",2007,74.852,4552198,7446.298803,"BIH","Southern Europe","Europe"
"Bosnia and Herzegovina",1957,58.45,3076000,1353.989176,"BIH","Southern Europe","Europe"
"Bosnia and Herzegovina",2002,74.09,4165416,6018.975239,"BIH","Southern Europe","Europe"
"Bosnia and Herzegovina",1977,69.86,4086000,3528.481305,"BIH","Southern Europe","Europe"
"Bosnia and Herzegovina",1972,67.45,3819000,2860.16975,"BIH","Southern Europe","Europe"
"Bosnia and Herzegovina",1952,53.82,2791000,973.5331948,"BIH","Southern Europe","Europe"
"Bosnia and Herzegovina",1967,64.79,3585000,2172.352423,"BIH","Southern Europe","Europe"
"Bosnia and Herzegovina",1962,61.93,3349000,1709.683679,"BIH","Southern Europe","Europe"
"Bosnia and Herzegovina",1997,73.244,3607000,4766.355904,"BIH","Southern Europe","Europe"
"Bosnia and Herzegovina",1987,71.14,4338977,4314.114757,"BIH","Southern Europe","Europe"
"Bosnia and Herzegovina",1992,72.178,4256013,2546.781445,"BIH","Southern Europe","Europe"
"Botswana",1952,47.622,442308,851.2411407,"BWA","Southern Africa","Africa"
"Botswana",1962,51.52,512764,983.6539764,"BWA","Southern Africa","Africa"
"Botswana",1957,49.618,474639,918.2325349,"BWA","Southern Africa","Africa"
"Botswana",1987,63.622,1151184,6205.88385,"BWA","Southern Africa","Africa"
"Botswana",1992,62.745,1342614,7954.111645,"BWA","Southern Africa","Africa"
"Botswana",1977,59.319,781472,3214.857818,"BWA","Southern Africa","Africa"
"Botswana",1997,52.556,1536536,8647.142313,"BWA","Southern Africa","Africa"
"Botswana",1982,61.484,970347,4551.14215,"BWA","Southern Africa","Africa"
"Botswana",1972,56.024,619351,2263.611114,"BWA","Southern Africa","Africa"
"Botswana",2002,46.634,1630347,11003.60508,"BWA","Southern Africa","Africa"
"Botswana",2007,50.728,1639131,12569.85177,"BWA","Southern Africa","Africa"
"Botswana",1967,53.298,553541,1214.709294,"BWA","Southern Africa","Africa"
"Brazil",1987,65.205,142938076,7807.095818,"BRA","South America","South America"
"Brazil",1972,59.504,100840058,4985.711467,"BRA","South America","South America"
"Brazil",2002,71.006,179914212,8131.212843,"BRA","South America","South America"
"Brazil",1997,69.388,168546719,7957.980824,"BRA","South America","South America"
"Brazil",1967,57.632,88049823,3429.864357,"BRA","South America","South America"
"Brazil",2007,72.39,190010647,9065.800825,"BRA","South America","South America"
"Brazil",1957,53.285,65551171,2487.365989,"BRA","South America","South America"
"Brazil",1977,61.489,114313951,6660.118654,"BRA","South America","South America"
"Brazil",1962,55.665,76039390,3336.585802,"BRA","South America","South America"
"Brazil",1952,50.917,56602560,2108.944355,"BRA","South America","South America"
"Brazil",1982,63.336,128962939,7030.835878,"BRA","South America","South America"
"Brazil",1992,67.057,155975974,6950.283021,"BRA","South America","South America"
"Bulgaria",1992,71.19,8658506,6302.623438,"BGR","Eastern Europe","Europe"
"Bulgaria",1997,70.32,8066057,5970.38876,"BGR","Eastern Europe","Europe"
"Bulgaria",2002,72.14,7661799,7696.777725,"BGR","Eastern Europe","Europe"
"Bulgaria",1977,70.81,8797022,7612.240438,"BGR","Eastern Europe","Europe"
"Bulgaria",1982,71.08,8892098,8224.191647,"BGR","Eastern Europe","Europe"
"Bulgaria",1987,71.34,8971958,8239.854824,"BGR","Eastern Europe","Europe"
"Bulgaria",1967,70.42,8310226,5577.0028,"BGR","Eastern Europe","Europe"
"Bulgaria",1952,59.6,7274900,2444.286648,"BGR","Eastern Europe","Europe"
"Bulgaria",2007,73.005,7322858,10680.79282,"BGR","Eastern Europe","Europe"
"Bulgaria",1972,70.9,8576200,6597.494398,"BGR","Eastern Europe","Europe"
"Bulgaria",1962,69.51,8012946,4254.337839,"BGR","Eastern Europe","Europe"
"Bulgaria",1957,66.61,7651254,3008.670727,"BGR","Eastern Europe","Europe"
"Burkina Faso",1977,46.137,5889574,743.3870368,"BFA","Western Africa","Africa"
"Burkina Faso",1952,31.975,4469979,543.2552413,"BFA","Western Africa","Africa"
"Burkina Faso",1957,34.906,4713416,617.1834648,"BFA","Western Africa","Africa"
"Burkina Faso",1987,49.557,7586551,912.0631417,"BFA","Western Africa","Africa"
"Burkina Faso",1967,40.697,5127935,794.8265597,"BFA","Western Africa","Africa"
"Burkina Faso",2002,50.65,12251209,1037.645221,"BFA","Western Africa","Africa"
"Burkina Faso",1992,50.26,8878303,931.7527731,"BFA","Western Africa","Africa"
"Burkina Faso",1982,48.122,6634596,807.1985855,"BFA","Western Africa","Africa"
"Burkina Faso",1972,43.591,5433886,854.7359763,"BFA","Western Africa","Africa"
"Burkina Faso",1997,50.324,10352843,946.2949618,"BFA","Western Africa","Africa"
"Burkina Faso",1962,37.814,4919632,722.5120206,"BFA","Western Africa","Africa"
"Burkina Faso",2007,52.295,14326203,1217.032994,"BFA","Western Africa","Africa"
"Burundi",2002,47.36,7021078,446.4035126,"BDI","Eastern Africa","Africa"
"Burundi",1992,44.736,5809236,631.6998778,"BDI","Eastern Africa","Africa"
"Burundi",1997,45.326,6121610,463.1151478,"BDI","Eastern Africa","Africa"
"Burundi",1957,40.533,2667518,379.5646281,"BDI","Eastern Africa","Africa"
"Burundi",1987,48.211,5126023,621.8188189,"BDI","Eastern Africa","Africa"
"Burundi",1952,39.031,2445618,339.2964587,"BDI","Eastern Africa","Africa"
"Burundi",1962,42.045,2961915,355.2032273,"BDI","Eastern Africa","Africa"
"Burundi",2007,49.58,8390505,430.0706916,"BDI","Eastern Africa","Africa"
"Burundi",1972,44.057,3529983,464.0995039,"BDI","Eastern Africa","Africa"
"Burundi",1967,43.548,3330989,412.9775136,"BDI","Eastern Africa","Africa"
"Burundi",1982,47.471,4580410,559.603231,"BDI","Eastern Africa","Africa"
"Burundi",1977,45.91,3834415,556.1032651,"BDI","Eastern Africa","Africa"
"Cambodia",1987,53.914,8371791,683.8955732,"KHM","South-eastern Asia","Asia"
"Cambodia",2002,56.752,12926707,896.2260153,"KHM","South-eastern Asia","Asia"
"Cambodia",1997,56.534,11782962,734.28517,"KHM","South-eastern Asia","Asia"
"Cambodia",1982,50.957,7272485,624.4754784,"KHM","South-eastern Asia","Asia"
"Cambodia",1952,39.417,4693836,368.4692856,"KHM","South-eastern Asia","Asia"
"Cambodia",1957,41.366,5322536,434.0383364,"KHM","South-eastern Asia","Asia"
"Cambodia",1992,55.803,10150094,682.3031755,"KHM","South-eastern Asia","Asia"
"Cambodia",1967,45.415,6960067,523.4323142,"KHM","South-eastern Asia","Asia"
"Cambodia",1962,43.415,6083619,496.9136476,"KHM","South-eastern Asia","Asia"
"Cambodia",2007,59.723,14131858,1713.778686,"KHM","South-eastern Asia","Asia"
"Cambodia",1972,40.317,7450606,421.6240257,"KHM","South-eastern Asia","Asia"
"Cambodia",1977,31.22,6978607,524.9721832,"KHM","South-eastern Asia","Asia"
"Cameroon",2007,50.43,17696293,2042.09524,"CMR","Middle Africa","Africa"
"Cameroon",1967,44.799,6335506,1508.453148,"CMR","Middle Africa","Africa"
"Cameroon",1962,42.643,5793633,1399.607441,"CMR","Middle Africa","Africa"
"Cameroon",1957,40.428,5359923,1313.048099,"CMR","Middle Africa","Africa"
"Cameroon",1972,47.049,7021028,1684.146528,"CMR","Middle Africa","Africa"
"Cameroon",1977,49.355,7959865,1783.432873,"CMR","Middle Africa","Africa"
"Cameroon",1982,52.961,9250831,2367.983282,"CMR","Middle Africa","Africa"
"Cameroon",1952,38.523,5009067,1172.667655,"CMR","Middle Africa","Africa"
"Cameroon",2002,49.856,15929988,1934.011449,"CMR","Middle Africa","Africa"
"Cameroon",1992,54.314,12467171,1793.163278,"CMR","Middle Africa","Africa"
"Cameroon",1987,54.985,10780667,2602.664206,"CMR","Middle Africa","Africa"
"Cameroon",1997,52.199,14195809,1694.337469,"CMR","Middle Africa","Africa"
"Canada",1952,68.75,14785584,11367.16112,"CAN","Northern America","North America"
"Canada",1992,77.95,28523502,26342.88426,"CAN","Northern America","North America"
"Canada",1967,72.13,20819767,16076.58803,"CAN","Northern America","North America"
"Canada",2002,79.77,31902268,33328.96507,"CAN","Northern America","North America"
"Canada",1972,72.88,22284500,18970.57086,"CAN","Northern America","North America"
"Canada",1977,74.21,23796400,22090.88306,"CAN","Northern America","North America"
"Canada",1962,71.3,18985849,13462.48555,"CAN","Northern America","North America"
"Canada",2007,80.653,33390141,36319.23501,"CAN","Northern America","North America"
"Canada",1997,78.61,30305843,28954.92589,"CAN","Northern America","North America"
"Canada",1982,75.76,25201900,22898.79214,"CAN","Northern America","North America"
"Canada",1987,76.86,26549700,26626.51503,"CAN","Northern America","North America"
"Canada",1957,69.96,17010154,12489.95006,"CAN","Northern America","North America"
"Central African Republic",1982,48.295,2476971,956.7529907,"CAF","Middle Africa","Africa"
"Central African Republic",1997,46.066,3696513,740.5063317,"CAF","Middle Africa","Africa"
"Central African Republic",1972,43.457,1927260,1070.013275,"CAF","Middle Africa","Africa"
"Central African Republic",2007,44.741,4369038,706.016537,"CAF","Middle Africa","Africa"
"Central African Republic",1977,46.775,2167533,1109.374338,"CAF","Middle Africa","Africa"
"Central African Republic",1992,49.396,3265124,747.9055252,"CAF","Middle Africa","Africa"
"Central African Republic",1967,41.478,1733638,1136.056615,"CAF","Middle Africa","Africa"
"Central African Republic",1957,37.464,1392284,1190.844328,"CAF","Middle Africa","Africa"
"Central African Republic",1987,50.485,2840009,844.8763504,"CAF","Middle Africa","Africa"
"Central African Republic",1962,39.475,1523478,1193.068753,"CAF","Middle Africa","Africa"
"Central African Republic",1952,35.463,1291695,1071.310713,"CAF","Middle Africa","Africa"
"Central African Republic",2002,43.308,4048013,738.6906068,"CAF","Middle Africa","Africa"
"Chad",1992,51.724,6429417,1058.0643,"TCD","Middle Africa","Africa"
"Chad",1987,51.051,5498955,952.386129,"TCD","Middle Africa","Africa"
"Chad",1982,49.517,4875118,797.9081006,"TCD","Middle Africa","Africa"
"Chad",1967,43.601,3495967,1196.810565,"TCD","Middle Africa","Africa"
"Chad",1962,41.716,3150417,1389.817618,"TCD","Middle Africa","Africa"
"Chad",1977,47.383,4388260,1133.98495,"TCD","Middle Africa","Africa"
"Chad",1972,45.569,3899068,1104.103987,"TCD","Middle Africa","Africa"
"Chad",1957,39.881,2894855,1308.495577,"TCD","Middle Africa","Africa"
"Chad",1952,38.092,2682462,1178.665927,"TCD","Middle Africa","Africa"
"Chad",1997,51.573,7562011,1004.961353,"TCD","Middle Africa","Africa"
"Chad",2002,50.525,8835739,1156.18186,"TCD","Middle Africa","Africa"
"Chad",2007,50.651,10238807,1704.063724,"TCD","Middle Africa","Africa"
"Chile",1957,56.074,7048426,4315.622723,"CHL","South America","South America"
"Chile",1992,74.126,13572994,7596.125964,"CHL","South America","South America"
"Chile",1977,67.052,10599793,4756.763836,"CHL","South America","South America"
"Chile",1952,54.745,6377619,3939.978789,"CHL","South America","South America"
"Chile",1967,60.523,8858908,5106.654313,"CHL","South America","South America"
"Chile",1982,70.565,11487112,5095.665738,"CHL","South America","South America"
"Chile",1962,57.924,7961258,4519.094331,"CHL","South America","South America"
"Chile",1987,72.492,12463354,5547.063754,"CHL","South America","South America"
"Chile",2002,77.86,15497046,10778.78385,"CHL","South America","South America"
"Chile",1997,75.816,14599929,10118.05318,"CHL","South America","South America"
"Chile",2007,78.553,16284741,13171.63885,"CHL","South America","South America"
"Chile",1972,63.441,9717524,5494.024437,"CHL","South America","South America"
"China",1997,70.426,1230075000,2289.234136,"CHN","Eastern Asia","Asia"
"China",1977,63.96736,943455000,741.2374699,"CHN","Eastern Asia","Asia"
"China",1992,68.69,1164970000,1655.784158,"CHN","Eastern Asia","Asia"
"China",1962,44.50136,665770000,487.6740183,"CHN","Eastern Asia","Asia"
"China",2007,72.961,1318683096,4959.114854,"CHN","Eastern Asia","Asia"
"China",1982,65.525,1000281000,962.4213805,"CHN","Eastern Asia","Asia"
"China",1967,58.38112,754550000,612.7056934,"CHN","Eastern Asia","Asia"
"China",1957,50.54896,637408000,575.9870009,"CHN","Eastern Asia","Asia"
"China",1987,67.274,1084035000,1378.904018,"CHN","Eastern Asia","Asia"
"China",1972,63.11888,862030000,676.9000921,"CHN","Eastern Asia","Asia"
"China",1952,44,556263527,400.448611,"CHN","Eastern Asia","Asia"
"China",2002,72.028,1280400000,3119.280896,"CHN","Eastern Asia","Asia"
"Colombia",2002,71.682,41008227,5755.259962,"COL","South America","South America"
"Colombia",1987,67.768,30964245,4903.2191,"COL","South America","South America"
"Colombia",2007,72.889,44227550,7006.580419,"COL","South America","South America"
"Colombia",1997,70.313,37657830,6117.361746,"COL","South America","South America"
"Colombia",1982,66.653,27764644,4397.575659,"COL","South America","South America"
"Colombia",1992,68.421,34202721,5444.648617,"COL","South America","South America"
"Colombia",1977,63.837,25094412,3815.80787,"COL","South America","South America"
"Colombia",1972,61.623,22542890,3264.660041,"COL","South America","South America"
"Colombia",1967,59.963,19764027,2678.729839,"COL","South America","South America"
"Colombia",1957,55.118,14485993,2323.805581,"COL","South America","South America"
"Colombia",1962,57.863,17009885,2492.351109,"COL","South America","South America"
"Colombia",1952,50.643,12350771,2144.115096,"COL","South America","South America"
"Comoros",1957,42.46,170928,1211.148548,"COM","Eastern Africa","Africa"
"Comoros",1997,60.66,527982,1173.618235,"COM","Eastern Africa","Africa"
"Comoros",1962,44.467,191689,1406.648278,"COM","Eastern Africa","Africa"
"Comoros",1967,46.472,217378,1876.029643,"COM","Eastern Africa","Africa"
"Comoros",1952,40.715,153936,1102.990936,"COM","Eastern Africa","Africa"
"Comoros",1977,50.939,304739,1172.603047,"COM","Eastern Africa","Africa"
"Comoros",2002,62.974,614382,1075.811558,"COM","Eastern Africa","Africa"
"Comoros",1992,57.939,454429,1246.90737,"COM","Eastern Africa","Africa"
"Comoros",1982,52.933,348643,1267.100083,"COM","Eastern Africa","Africa"
"Comoros",2007,65.152,710960,986.1478792,"COM","Eastern Africa","Africa"
"Comoros",1972,48.944,250027,1937.577675,"COM","Eastern Africa","Africa"
"Comoros",1987,54.926,395114,1315.980812,"COM","Eastern Africa","Africa"
"Costa Rica",1967,65.424,1588717,4161.727834,"CRI","Central America","North America"
"Costa Rica",1972,67.849,1834796,5118.146939,"CRI","Central America","North America"
"Costa Rica",1957,60.026,1112300,2990.010802,"CRI","Central America","North America"
"Costa Rica",1952,57.206,926317,2627.009471,"CRI","Central America","North America"
"Costa Rica",1987,74.752,2799811,5629.915318,"CRI","Central America","North America"
"Costa Rica",1982,73.45,2424367,5262.734751,"CRI","Central America","North America"
"Costa Rica",1997,77.26,3518107,6677.045314,"CRI","Central America","North America"
"Costa Rica",1962,62.842,1345187,3460.937025,"CRI","Central America","North America"
"Costa Rica",1977,70.75,2108457,5926.876967,"CRI","Central America","North America"
"Costa Rica",1992,75.713,3173216,6160.416317,"CRI","Central America","North America"
"Costa Rica",2002,78.123,3834934,7723.447195,"CRI","Central America","North America"
"Costa Rica",2007,78.782,4133884,9645.06142,"CRI","Central America","North America"
"Croatia",1977,70.64,4318673,11305.38517,"HRV","Southern Europe","Europe"
"Croatia",1987,71.52,4484310,13822.58394,"HRV","Southern Europe","Europe"
"Croatia",1992,72.527,4494013,8447.794873,"HRV","Southern Europe","Europe"
"Croatia",1997,73.68,4444595,9875.604515,"HRV","Southern Europe","Europe"
"Croatia",1962,67.13,4076557,5477.890018,"HRV","Southern Europe","Europe"
"Croatia",2002,74.876,4481020,11628.38895,"HRV","Southern Europe","Europe"
"Croatia",1967,68.5,4174366,6960.297861,"HRV","Southern Europe","Europe"
"Croatia",1972,69.61,4225310,9164.090127,"HRV","Southern Europe","Europe"
"Croatia",1982,70.46,4413368,13221.82184,"HRV","Southern Europe","Europe"
"Croatia",1952,61.21,3882229,3119.23652,"HRV","Southern Europe","Europe"
"Croatia",2007,75.748,4493312,14619.22272,"HRV","Southern Europe","Europe"
"Croatia",1957,64.77,3991242,4338.231617,"HRV","Southern Europe","Europe"
"Cuba",1967,68.29,8139332,5690.268015,"CUB","Caribbean","North America"
"Cuba",2002,77.158,11226999,6340.646683,"CUB","Caribbean","North America"
"Cuba",1987,74.174,10239839,7532.924763,"CUB","Caribbean","North America"
"Cuba",1997,76.151,10983007,5431.990415,"CUB","Caribbean","North America"
"Cuba",1962,65.246,7254373,5180.75591,"CUB","Caribbean","North America"
"Cuba",1992,74.414,10723260,5592.843963,"CUB","Caribbean","North America"
"Cuba",1977,72.649,9537988,6380.494966,"CUB","Caribbean","North America"
"Cuba",1982,73.717,9789224,7316.918107,"CUB","Caribbean","North America"
"Cuba",1952,59.421,6007797,5586.53878,"CUB","Caribbean","North America"
"Cuba",1972,70.723,8831348,5305.445256,"CUB","Caribbean","North America"
"Cuba",2007,78.273,11416987,8948.102923,"CUB","Caribbean","North America"
"Cuba",1957,62.325,6640752,6092.174359,"CUB","Caribbean","North America"
"Denmark",1967,72.96,4838800,15937.21123,"DNK","Northern Europe","Europe"
"Denmark",1992,75.33,5171393,26406.73985,"DNK","Northern Europe","Europe"
"Denmark",1982,74.63,5117810,21688.04048,"DNK","Northern Europe","Europe"
"Denmark",1987,74.8,5127024,25116.17581,"DNK","Northern Europe","Europe"
